time_bins,mean_CPU_usage_rate,canonical_memory_usage,assigned_memory_usage,unmapped_page_cache_memory_usage,total_page_cache_memory_usage,mean_disk_I/O_time,mean_local_disk_space_used,cycles_per_instruction,memory_accesses_per_instruction,sampled_CPU_usage,maximum_memory_usage,maximum_CPU_usage,maximum_disk_IO_time
1970-01-07 01:35:00,2610.0772272050544,2729.2138811471236,3440.254307465664,342.4664539301108,833.5462072937917,311.46613753930205,11.769264923604851,488534.25379999855,1645.5307221570165,1543.5283865177018,0.7686,2.582,0.7461
1970-01-07 01:40:00,2446.5275862940407,2715.9865940981226,3430.1276299516367,340.4341999542041,831.644055339102,285.9972951913508,11.904811815105251,475878.44230000005,1610.2214689239916,1361.9111125575002,0.7686,3.281,0.7764
1970-01-07 01:45:00,2391.03933019901,2727.4820575397816,3446.5727673994443,338.1128472357102,830.3230433420823,334.3500931531671,11.857699040605022,497054.2815999977,1675.8266471979937,1304.268610075493,0.7686,6.039,0.7773
1970-01-07 01:50:00,2388.7340240010453,2711.793475489062,3430.8058717995395,337.1245009773137,830.0754750550922,292.4813700048471,11.873502050706485,489380.9960999958,1654.4151615000044,1291.6441197848005,0.7686,6.906,0.7627
1970-01-07 01:55:00,2330.364421997992,2686.617877664092,3402.443579589622,338.6650502546142,832.8589058750854,344.03199930786883,11.847906964706945,478265.8912999937,1623.2610022110243,1204.7784424869983,0.7686,2.539,0.832
1970-01-07 02:00:00,2319.488692252053,2689.57385947206,3404.6947248996253,339.01246600551303,834.4410588363776,257.4329582789134,11.860387124607493,474058.49870000005,1619.1624326809706,1247.8009224029968,0.7686,17.72,0.7549
1970-01-07 02:05:00,2349.9107471309912,2691.20740127312,3406.6942386756864,338.1417571792106,833.2308649454824,274.2663838839046,11.934778117107156,472172.56820000056,1606.8705344559892,1276.0819062705168,0.7686,2.199,0.7949
1970-01-07 02:10:00,2407.174593093048,2697.026457757791,3411.5912734996086,338.1301103573081,834.1700592280897,374.790457416246,11.96435226300646,477815.65349999804,1624.2817423239753,1295.758086635509,0.7686,2.188,0.8096
1970-01-07 02:15:00,2396.113883123357,2701.7393166651236,3413.9223027996477,335.57657855031357,832.9038856690843,350.35674715287877,11.958097988205724,499937.29699999833,1683.5842911109837,1293.9584287351847,0.7686,1.41,0.8027
1970-01-07 02:20:00,2378.584726770001,2664.1613482701227,3373.168378419583,332.4288838849188,830.3354283612053,355.1429881968651,11.882215304305463,497097.5655999995,1702.510564258989,1260.7690127439844,0.7686,2.082,0.7188
1970-01-07 02:25:00,2397.435537650965,2669.7960874181235,3378.659601935587,334.80575222471066,833.8977844333986,422.2392073057674,11.938382541004074,496344.8591999963,1691.386368139971,1242.2128328735892,0.7686,3.594,0.7861
1970-01-07 02:30:00,2407.562930389952,2673.4460215511217,3379.3617465996567,333.69215957680564,832.8570796901125,383.374067515466,11.966891156305964,478426.4358999964,1630.3511104690074,1294.344452151983,0.7686,3.16,0.8311
1970-01-07 02:35:00,2453.428870629007,2676.1951886571246,3384.5295714995286,332.27895341530956,833.0798541891884,250.55733596480772,11.979992369206302,462904.8503000016,1581.173963816984,1380.089581209584,0.7686,5.641,0.8438
1970-01-07 02:40:00,2439.185285270011,2685.22322760112,3398.1682627496043,332.1134949044159,834.7598103704065,219.06799412710683,11.934952196308766,461240.6586999993,1570.8820951845819,1381.3769992680889,0.7686,3.5,0.9502
1970-01-07 02:45:00,2274.499994711027,2658.14078997411,3369.218870799617,326.8127369263119,829.6200850050848,317.0516208048693,11.89362594000551,490027.69130000024,1679.0259951409887,1182.4635673737944,0.7686,2.203,0.8574
1970-01-07 02:50:00,2256.7237474077515,2655.3291624831368,3365.366472499598,326.61341507391205,830.9897860018184,433.9854641960596,11.822901909105259,486395.694999997,1659.3541646088688,1165.576583189392,0.7686,1.555,0.9111
1970-01-07 02:55:00,2227.900903207011,2651.397029022121,3359.421464095612,330.00336673442087,834.0664604564985,318.39319819128986,11.731158733506197,470069.17050000513,1601.1749768760071,1214.2429101456098,0.7686,3.137,1.023
1970-01-07 03:00:00,2226.3049025537034,2676.1969875101117,3384.394272199644,332.5839361383144,837.7637897698073,390.40249894545724,11.707583435706141,463541.532499998,1580.334519132009,1207.865637262201,0.7686,3.188,0.9639
